timestamp,progressStatus,recordedAtTime,directionRef,journeyPatternRef,bearing,progressRate,vehicleRef,longitude,latitude
1580210341,,2020-01-28T06:19:04-05:00,0,MTA_B670127,89.20428,normalProgress,MTA NYCT_466,-73.986852,40.699713
1580210402,layover,2020-01-28T06:20:09-05:00,1,MTA_B670134,10.619656,noProgress,MTA NYCT_417,-73.967411,40.706971
1580210402,,2020-01-28T06:20:01-05:00,0,MTA_B670127,10.333877,normalProgress,MTA NYCT_418,-73.967637,40.70693
1580210402,,2020-01-28T06:20:04-05:00,0,MTA_B670127,353.65982,normalProgress,MTA NYCT_466,-73.986959,40.700661
1580210402,,2020-01-28T06:20:04-05:00,0,MTA_B670127,44.61253,normalProgress,MTA NYCT_367,-73.986303,40.661314
1580210402,,2020-01-28T06:19:59-05:00,1,MTA_B670134,280.4507,normalProgress,MTA NYCT_810,-73.979042,40.639209
1580210402,,2020-01-28T06:20:21-05:00,0,MTA_B670127,51.842773,normalProgress,MTA NYCT_365,-73.973169,40.677807
1580210402,,2020-01-28T06:19:56-05:00,1,MTA_B670134,339.53024,normalProgress,MTA NYCT_369,-73.984924,40.689317
1580210461,layover,2020-01-28T06:21:11-05:00,1,MTA_B670134,10.619656,noProgress,MTA NYCT_417,-73.967411,40.706971
1580210461,layover,2020-01-28T06:21:02-05:00,0,MTA_B670127,10.333877,noProgress,MTA NYCT_418,-73.9676,40.706937
1580210461,,2020-01-28T06:20:57-05:00,1,MTA_B670134,339.353,normalProgress,MTA NYCT_369,-73.981206,40.687869
1580210461,,2020-01-28T06:21:04-05:00,0,MTA_B670127,49.783916,normalProgress,MTA NYCT_367,-73.984729,40.663091
1580210461,,2020-01-28T06:21:00-05:00,1,MTA_B670134,280.4507,normalProgress,MTA NYCT_810,-73.979019,40.639083
1580210461,,2020-01-28T06:20:52-05:00,0,MTA_B670127,125.70669,normalProgress,MTA NYCT_365,-73.973391,40.678462
1580210461,,2020-01-28T06:21:05-05:00,0,MTA_B670127,86.82017,normalProgress,MTA NYCT_466,-73.984777,40.701296
1580210521,layover,2020-01-28T06:22:03-05:00,0,MTA_B670127,10.333877,noProgress,MTA NYCT_418,-73.9676,40.706937
1580210521,,2020-01-28T06:21:53-05:00,0,MTA_B670127,123.58542,normalProgress,MTA NYCT_365,-73.974414,40.679855
1580210521,,2020-01-28T06:22:06-05:00,0,MTA_B670127,267.1184,normalProgress,MTA NYCT_466,-73.982849,40.701353
